Warriors|Oakland|CA|Western|Joe|Lacob|Bob|Myers|1946
Lakers|Los Angeles|CA|Western|Jeanie|Buss|Rob|Pelinka|1947
Rockets|Houston|TX|Western|Tilman|Fertitta|Daryl|Morey|1967
Pelicans|New Orleans|LA|Western|Gayle|Benson|Dell|Demps|2002
Raptors|Toronto|\N|Eastern|Masai|Ujiri|Bobby|Webster|1995
76ers|Philadelphia|PA|Eastern|Joshua|Harris|Elton|Brand|1946
Jazz|Salt Lake City|UT|Western|Gail|Miller|Dennis|Lindsey|1974
Bucks|Milwaukee|WI|Eastern|Wesley|Edens|Jon|Horst|1968
Timberwolves|Minneapolis|MN|Western|Glen|Taylor|Scott|Layden|1989
Bulls|Chicago|IL|Eastern|Jerry|Reinsdorf|Gar|Forman|1966
Clippers|Los Angeles|CA|Western|Steve|Ballmer|Michael|Winger|1970
